Volcano Number,Volcano Name,Age (Ma),Distance (Km),Age Error (Ma),Distance Error (Km)
1,  Kilauea,  0.2,  0,  0.2,  1.5 
3,  Mauna Kea,  0.38,  54,  0.05,  1.8 
5,  Kohala,  0.43,  100,  0.02,  2 
6,  East Maui,  0.75,  182,  0.04,  2.5 
8,  West Maui,  1.32,  221,  0.04,  2.7 
10,  East Molokai,  1.76,  256,  0.07,  2.9 
11,  West Molokai,  1.9,  280,  0.06,  3 
13,  Waianae,  3.7,  374,  0.1,  3.5 
14,  Kauai,  5.1,  519,  0.2,  4.2 
15,  Niihau,  4.89,  565,  0.11,  4.5 
17,  Nihoa,  7.2,  780,  0.3,  5.6 
20,  unnamed 1,  9.6,  913,  0.8,  6.3 
23,  Necker,  10.3,  1058, 0.4,  7.1 
26,  La Perouse,  12,  1209,  0.4,  7.9 
30,  Gardner,  12.3,  1435,  1,  9.1 
36,  Laysan,  19.9,  1818,  0.3,  11.1 
37,  Northampton,  26.6,  1841,  2.7,  11.3 
50,  Pearl & Hermes,  20.6,  2291,  0.5,  13.6 
52,  Midway,  27.7,  2432,  0.6,  14.4 
57,  unnamed 2,  28,  2600, 0.4,  15.3 
63,  unnamed 3,  27.4,  2825,  0.5,  16.5 
65,  Colahan,  38.6,  3128,  0.3,  18.1 
67,  Daikakuji,  42.4,  3493,  2.3,  20 
72,  Kimmei,  39.9,  3668,  1.2,  20.9 
74,  Koko,  48.1,  3758,  0.8,  21.4 
81,  Ojin,  55.2,  4102,  0.7,  23.2 
83,  Jingu,  55.4,  4175,  0.9,  23.6 
86,  Nintoku,  56.2,  4452,  0.6,  25.1 
90,  Suiko 1,  59.6,  4794,  0.6,  26.9 
91,  Suiko 2,  64.7,  4860,  1.1,  27.2 
